Year,Pitcher,League,Type,Wins,Win_pct,Saves,ERA,Strikeouts,Innings_pitched
1991.0,12,0,1,20.0,0.7140000000000001,1.0,3.18,101.0,212.0
1988.0,14,1,1,23.0,0.742,1.0,2.73,161.0,260.0
1992.0,45,0,0,2.0,0.25,41.0,2.84,52.0,67.0
1987.0,58,0,0,0.0,0.0,34.0,2.49,128.0,94.0
1986.0,30,1,0,7.0,0.4379999999999999,35.0,3.94,67.0,89.0
1987.0,52,1,0,5.0,0.625,42.0,2.83,74.0,89.0
1989.0,37,1,0,6.0,0.5710000000000001,44.0,1.85,92.0,93.0
1986.0,16,0,0,8.0,0.5,46.0,2.45,83.0,107.0
1989.0,41,1,0,4.0,0.5,36.0,2.76,67.0,82.0
1988.0,17,0,1,21.0,0.636,1.0,3.23,192.0,276.0
1992.0,33,0,1,21.0,0.6559999999999999,1.0,3.32,173.0,266.0
1990.0,17,0,1,22.0,0.667,1.0,2.56,166.0,267.0
1986.0,39,1,1,18.0,0.643,1.0,2.22,306.0,275.0
1988.0,27,1,0,6.0,0.5,39.0,1.57,46.0,86.0
1987.0,51,1,1,18.0,0.643,1.0,3.68,174.0,237.0
1991.0,24,0,1,20.0,0.69,1.0,3.9,91.0,226.0
1988.0,42,1,1,23.0,0.742,2.0,2.26,178.0,267.0
1985.0,13,1,1,24.0,0.857,1.0,1.53,268.0,277.0
1992.0,35,1,0,4.0,0.308,43.0,3.12,60.0,75.0
1988.0,23,1,0,6.0,0.5,34.0,3.49,76.0,77.0
1988.0,30,0,0,2.0,0.3329999999999999,42.0,2.47,56.0,73.0
1992.0,57,1,1,20.0,0.7140000000000001,1.0,2.76,129.0,225.0
1985.0,4,0,1,20.0,0.769,1.0,2.87,158.0,235.0
1984.0,1,0,1,19.0,0.731,1.0,2.87,170.0,245.0
1980.0,29,1,1,20.0,0.625,1.0,3.55,127.0,256.0
1987.0,46,0,1,20.0,0.69,1.0,2.97,256.0,282.0
1983.0,48,0,1,22.0,0.759,1.0,3.23,137.0,240.0
1980.0,6,1,0,5.0,0.385,28.0,2.65,76.0,102.0
1983.0,5,0,0,8.0,0.444,33.0,2.85,65.0,145.0
1991.0,11,0,0,5.0,0.556,41.0,1.91,93.0,80.0
1990.0,27,1,0,5.0,0.625,33.0,2.53,56.0,68.0
1991.0,46,0,1,19.0,0.643,1.0,2.41,241.0,271.0
1991.0,35,1,0,6.0,0.667,47.0,2.34,67.0,73.0
1983.0,34,0,1,24.0,0.706,1.0,3.66,148.0,261.0
1988.0,19,0,1,24.0,0.774,1.0,2.64,193.0,255.0
1989.0,7,0,0,2.0,0.25,34.0,3.76,47.0,79.0
1982.0,15,0,0,9.0,0.563,35.0,2.57,46.0,137.0
1992.0,50,1,0,3.0,0.3329999999999999,38.0,4.29,66.0,80.0
1987.0,35,1,0,4.0,0.286,35.0,3.12,96.0,84.0
